1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Index
32.4014,22.9266,12.5980,38.8123,25.9339,49.7566,24.0570,33.2767,43.8755,27.3482,38.1515,19.7655,47.2681,45.4554,34.5494,28.9573,40.7330,35.7495,38.7563,11.9665,19.4572,13.5266,35.9163,39.1112,28.2401,10.0273,32.5506,28.9471,14.0855,16.3434,50.2521
28.6842,22.4177,12.6888,40.2273,26.4137,49.9711,23.7421,31.6039,43.0889,26.2389,36.7059,19.8250,50.0295,46.1902,32.6441,28.7625,41.6620,35.6886,35.8171,12.1963,20.6361,11.5119,36.7348,42.1853,29.7796,10.2420,32.2968,28.3298,14.3036,16.4274,50.1723
31.1901,21.4498,11.6129,41.1993,25.0392,61.2799,23.2364,29.7560,42.7394,26.8046,34.7549,20.0336,47.6021,43.4955,32.2433,29.9124,47.4244,34.6828,29.6144,11.6228,22.7241,10.9943,35.6999,36.8823,7.2719,10.2782,31.6387,27.3668,14.4037,16.2824,47.3359
26.5581,21.3211,12.1541,37.8534,25.3046,51.2454,23.4103,35.3537,44.9115,24.4176,34.0905,19.3037,47.0200,42.8175,30.7399,25.7719,36.3982,35.0912,36.9514,12.5740,23.5077,11.5853,35.3595,43.2924,4.5332,10.5700,30.8150,27.2665,14.7520,16.1675,46.6440
22.7741,22.2253,11.6316,40.7523,25.4353,45.5394,22.6798,33.8876,41.1241,27.5252,33.7022,18.9914,46.4519,41.2334,29.4137,31.5063,24.2537,35.6750,33.9159,10.7829,23.9067,11.1744,34.4144,30.3187,6.3878,10.2852,30.4561,26.8730,14.2699,16.8213,43.8122
31.3739,21.7501,11.3746,38.1857,25.3113,67.1603,22.3265,35.3685,42.0878,25.3591,34.0502,18.6436,47.5495,40.9443,30.4527,37.7027,43.6199,35.0501,30.2856,9.5453,22.8644,12.8676,35.3933,29.4012,7.0985,11.1806,30.9754,27.2170,14.2451,16.7636,46.9654
26.1380,22.2678,12.0517,37.5573,26.0265,39.8276,23.4760,37.0384,42.0465,23.8285,34.0816,18.1062,48.4426,38.9854,30.9481,27.8824,54.4322,35.1159,32.5641,11.1784,23.3270,11.9303,34.6147,42.5486,5.0920,10.8540,30.5373,27.9710,14.2470,16.2118,47.4292
29.3867,21.9713,11.8031,37.8941,26.6159,40.6924,23.0635,40.0252,40.0849,23.5583,33.2966,17.7298,46.7441,37.5817,31.4594,33.6405,55.1070,34.4761,27.6626,11.0522,22.4275,12.2257,33.0851,32.4676,4.1246,11.3125,30.2259,28.0138,14.1227,16.8935,46.6859
30.4328,22.0138,11.9410,36.4171,26.3743,50.1986,21.4549,41.5322,43.1211,24.3661,33.8850,19.2646,42.5050,40.3454,35.2431,22.6523,33.5655,33.6907,32.4735,9.2671,23.0616,9.9083,33.1584,32.1015,34.0865,11.2563,30.3504,28.1390,16.3988,17.2407,48.2863
31.5675,21.8865,11.5892,39.5089,26.1044,58.2332,22.2966,37.8723,37.6008,25.3355,34.1075,19.6794,47.7824,39.1740,34.3777,29.1800,41.5857,34.1314,28.5375,11.0792,22.4000,10.6622,33.0019,31.0564,30.0718,11.5552,31.5995,28.3462,12.5573,17.0757,48.5144
29.7386,22.0133,11.7665,41.0874,25.2761,62.1355,22.3335,40.7554,38.7841,24.0464,35.0287,19.8910,44.7010,40.5311,35.0416,30.6696,43.8904,34.5490,32.5968,9.3941,24.2120,10.1844,33.6754,37.5323,27.9683,11.2122,31.5644,27.7710,14.5484,17.3927,49.8423
33.8671,22.1834,12.3342,38.7434,25.8037,41.3006,21.7793,42.0873,44.9095,22.6704,33.6634,19.0941,44.6929,38.9365,29.6450,29.3226,43.3586,33.9530,29.9559,10.7979,23.4361,11.0338,32.2158,27.6826,26.2675,11.1266,31.6551,27.3235,16.1099,15.7784,47.8988
