77,21,1
267,18,0
314,13,0
465,10,0
870,9,0
873,20,0
880,7,1
929,19,0
1027,20,1
1095,19,1
1098,25,0
1149,22,0
1211,13,1
1288,9,1
1336,22,1
1516,5,0
1552,5,1
1988,3,0
2084,27,0
2168,27,1
2280,3,1
2406,23,0
2604,4,0
2612,25,1
2615,11,0
2616,29,0
2704,28,0
2762,17,0
2781,11,1
2824,12,0
2833,4,1
2841,13,0
2950,25,0
2993,18,1
3097,5,0
3127,7,0
3154,13,1
3193,17,1
3202,16,0
3287,26,1
3331,21,0
3501,28,1
3731,7,1
3804,3,0
3966,14,0
4005,21,1
4013,10,1
4112,16,1
4155,25,1
4281,27,0
4291,4,0
4320,10,0
4497,20,0
4501,2,0
4505,24,0
4508,3,1
4551,5,1
4557,20,1
4558,27,1
4674,13,0
4780,0,0
4876,18,0
4902,4,1
4941,13,1
4957,24,1
5298,11,0
5332,0,1
5489,13,0
5533,11,1
5587,25,0
5697,19,0
5705,7,0
5733,1,0
6060,25,1
6137,14,1
6214,17,0
6270,26,0
6322,7,1
6336,1,1
6421,26,1
6525,19,1
6735,11,0
6808,14,0
6868,13,1
6935,28,0
7010,14,1
7013,11,1
7037,9,0
7187,4,0
7218,17,1
7341,3,0
7375,28,1
7378,20,0
7403,20,1
7443,12,1
7470,22,0
7605,4,1
7618,2,1
7619,23,1
7683,9,1
7719,10,1
7787,19,0
7796,18,1
7830,0,0
8139,16,0
8216,19,1
8329,5,0
8411,10,0
8448,22,1
8680,4,0
8730,4,1
8772,27,0
8813,25,0
8814,3,1
8954,0,1
9000,7,0
9016,4,0
9063,9,0
9268,24,0
9340,24,1
9420,20,0
9452,20,1
9469,7,1
9469,13,0
9556,28,0
9767,25,1
9774,1,0
9826,15,0
9898,19,0
9908,1,1
