S,800,limit;100
S,900,symbol;S1;S2;S3;S4;S5
S,1000,S1;99.5;100.5;S2;99.5;100.5;S3;99.5;100.5;S4;99.5;100.5;S5;99.5;100.5
S,1500,S1;99.6839917;100.6839917;S2;99.8311851;100.8311851;S3;98.9138322;99.9138322;S4;98.22340752;99.22340752;S5;99.16310413;100.16310413
S,2000,S1;100.7069718;101.7069718;S2;101.6611843;102.6611843;S3;99.7913465;100.7913465;S4;98.67672897;99.67672897;S5;100.2090579;101.2090579
S,2500,S1;99.9515973;100.9515973;S2;100.2447846;101.2447846;S3;99.07582069;100.07582069;S4;98.76869399;99.76869399;S5;99.5102241;100.5102241
S,3000,S1;101.0355804;102.0355804;S2;102.1724121;103.1724121;S3;99.27510228;100.27510228;S4;98.22624148;99.22624148;S5;100.1773341;101.1773341
S,3500,S1;101.5240433;102.5240433;S2;102.9695678;103.9695678;S3;99.39624394;100.39624394;S4;98.93404682;99.93404682;S5;100.7059755;101.7059755
S,4000,S1;102.0170468;103.0170468;S2;103.7522994;104.7522994;S3;99.8783027;100.8783027;S4;99.6494089;100.6494089;S5;101.3242644;102.3242644
S,4500,S1;102.1486996;103.1486996;S2;103.8704266;104.8704266;S3;100.2767716;101.2767716;S4;100.2475653;101.2475653;S5;101.6358658;102.6358658
S,5000,S1;101.0128879;102.0128879;S2;101.7340562;102.7340562;S3;100.0110172;101.0110172;S4;98.52671691;99.52671691;S5;100.3211696;101.3211696
S,5500,S1;101.5171581;102.5171581;S2;102.587412;103.587412;S3;100.7966297;101.7966297;S4;100.101734;101.101734;S5;101.2507335;102.2507335
S,6000,S1;100.4813447;101.4813447;S2;100.6676256;101.6676256;S3;100.270872;101.270872;S4;98.9556692;99.9556692;S5;100.0938779;101.0938779
S,6500,S1;100.2798659;101.2798659;S2;100.2940493;101.2940493;S3;99.8092922;100.8092922;S4;99.8429628;100.8429628;S5;100.0565425;101.0565425
S,7000,S1;101.1587308;102.1587308;S2;101.8696152;102.8696152;S3;100.8989188;101.8989188;S4;102.2177817;103.2177817;S5;101.5362616;102.5362616
S,7500,S1;101.8714849;102.8714849;S2;103.0956394;104.0956394;S3;101.3485292;102.3485292;S4;103.2156132;104.2156132;S5;102.3828167;103.3828167
S,8000,S1;101.7867114;102.7867114;S2;102.8625998;103.8625998;S3;100.9248386;101.9248386;S4;101.4335291;102.4335291;S5;101.7519197;102.7519197
S,8500,S1;101.7789323;102.7789323;S2;102.776652;103.776652;S3;100.3130491;101.3130491;S4;101.2280674;102.2280674;S5;101.5241752;102.5241752
S,9000,S1;102.1071312;103.1071312;S2;103.2947126;104.2947126;S3;100.5856757;101.5856757;S4;101.924508;102.924508;S5;101.9780069;102.9780069
S,9500,S1;102.6387278;103.6387278;S2;104.1612127;105.1612127;S3;101.0265111;102.0265111;S4;102.8764448;103.8764448;S5;102.6757241;103.6757241
S,10000,S1;102.4133569;103.4133569;S2;103.6590254;104.6590254;S3;100.9122527;101.9122527;S4;103.3275779;104.3275779;S5;102.5780532;103.5780532
S,10500,S1;102.8361379;103.8361379;S2;104.3269967;105.3269967;S3;101.2818005;102.2818005;S4;104.8130657;105.8130657;S5;103.3145002;104.3145002
S,11000,S1;102.3482207;103.3482207;S2;103.3614599;104.3614599;S3;100.669391;101.669391;S4;103.541379;104.541379;S5;102.4801126;103.4801126
S,11500,S1;104.7915215;105.7915215;S2;107.6373835;108.6373835;S3;102.7793276;103.7793276;S4;106.3314086;107.3314086;S5;105.3849103;106.3849103
S,12000,S1;104.2314356;105.2314356;S2;106.4610743;107.4610743;S3;101.6483408;102.6483408;S4;104.6775262;105.6775262;S5;104.2545942;105.2545942
S,12500,S1;103.7320327;104.7320327;S2;105.4308123;106.4308123;S3;100.6729442;101.6729442;S4;102.4528401;103.4528401;S5;103.0721573;104.0721573
S,13000,S1;103.8160023;104.8160023;S2;105.465412;106.465412;S3;101.3512898;102.3512898;S4;103.8228004;104.8228004;S5;103.6138762;104.6138762
S,13500,S1;103.1791061;104.1791061;S2;104.2295693;105.2295693;S3;100.6729305;101.6729305;S4;102.5965583;103.5965583;S5;102.669541;103.669541
S,14000,S1;100.788336;101.788336;S2;99.9236723;100.9236723;S3;98.27309886;99.27309886;S4;100.5996031;101.5996031;S5;99.8961776;100.8961776
S,14500,S1;99.5675044;100.5675044;S2;97.79653053;98.79653053;S3;96.33327895;97.33327895;S4;98.86025833;99.86025833;S5;98.13939305;99.13939305
S,15000,S1;100.325007;101.325007;S2;99.27828167;100.27828167;S3;97.4586442;98.4586442;S4;99.7978985;100.7978985;S5;99.21495784;100.21495784
S,15500,S1;100.5829364;101.5829364;S2;99.8109968;100.8109968;S3;97.53637744;98.53637744;S4;99.24019838;100.24019838;S5;99.29262726;100.29262726
S,16000,S1;100.9090419;101.9090419;S2;100.4469117;101.4469117;S3;97.95676382;98.95676382;S4;98.76375838;99.76375838;S5;99.519119;100.519119
S,16500,S1;100.6501417;101.6501417;S2;100.0147318;101.0147318;S3;97.08846935;98.08846935;S4;96.98710596;97.98710596;S5;98.68511221;99.68511221
S,17000,S1;101.2669492;102.2669492;S2;101.1619471;102.1619471;S3;98.23081863;99.23081863;S4;98.24143917;99.24143917;S5;99.7252885;100.7252885
S,17500,S1;101.9751963;102.9751963;S2;102.4339893;103.4339893;S3;98.23843464;99.23843464;S4;98.74574475;99.74574475;S5;100.3483412;101.3483412
S,18000,S1;102.4848139;103.4848139;S2;103.3107143;104.3107143;S3;98.74622547;99.74622547;S4;98.14993013;99.14993013;S5;100.6729209;101.6729209
S,18500,S1;103.0967559;104.0967559;S2;104.3426859;105.3426859;S3;99.7795149;100.7795149;S4;99.12518973;100.12518973;S5;101.5860366;102.5860366
S,19000,S1;103.8399991;104.8399991;S2;105.5764027;106.5764027;S3;100.5234365;101.5234365;S4;98.92799557;99.92799557;S5;102.2169584;103.2169584
S,19500,S1;102.828954;103.828954;S2;103.6738259;104.6738259;S3;100.0999272;101.0999272;S4;97.49575071;98.49575071;S5;101.0246145;102.0246145
S,20000,S1;101.5539096;102.5539096;S2;101.3550021;102.3550021;S3;98.59393097;99.59393097;S4;95.4009354;96.4009354;S5;99.22594453;100.22594453
S,20500,S1;101.0905081;102.0905081;S2;100.5416672;101.5416672;S3;97.58901031;98.58901031;S4;95.59796351;96.59796351;S5;98.70478729;99.70478729
S,21000,S1;101.4333456;102.4333456;S2;101.191253;102.191253;S3;97.75258284;98.75258284;S4;94.07834565;95.07834565;S5;98.61388175;99.61388175
S,21500,S1;99.7854268;100.7854268;S2;98.26622387;99.26622387;S3;96.18364977;97.18364977;S4;94.2289062;95.2289062;S5;97.11605165;98.11605165
S,22000,S1;99.8796621;100.8796621;S2;98.53741955;99.53741955;S3;96.48978265;97.48978265;S4;94.11753263;95.11753263;S5;97.25609924;98.25609924
S,22500,S1;98.07679736;99.07679736;S2;95.38764837;96.38764837;S3;95.25230077;96.25230077;S4;94.59133135;95.59133135;S5;95.82701946;96.82701946
S,23000,S1;96.26758961;97.26758961;S2;92.29035106;93.29035106;S3;93.73078006;94.73078006;S4;94.91382466;95.91382466;S5;94.30063635;95.30063635
S,23500,S1;95.42305503;96.42305503;S2;91.01409521;92.01409521;S3;92.47013345;93.47013345;S4;93.83308556;94.83308556;S5;93.18509231;94.18509231
S,24000,S1;95.96028682;96.96028682;S2;92.29477959;93.29477959;S3;93.29683284;94.29683284;S4;95.25974195;96.25974195;S5;94.2029103;95.2029103
S,24500,S1;95.71116332;96.71116332;S2;92.0846328;93.0846328;S3;92.22641233;93.22641233;S4;94.39035672;95.39035672;S5;93.60314129;94.60314129
S,25000,S1;96.22984708;97.22984708;S2;93.27758189;94.27758189;S3;92.70234968;93.70234968;S4;93.75393458;94.75393458;S5;93.99092831;94.99092831
S,25500,S1;95.83561152;96.83561152;S2;92.75509731;93.75509731;S3;91.70034566;92.70034566;S4;93.66060882;94.66060882;S5;93.48791583;94.48791583
S,26000,S1;96.47158497;97.47158497;S2;94.12559676;95.12559676;S3;92.65638122;93.65638122;S4;95.88569382;96.88569382;S5;94.78481419;95.78481419
S,26500,S1;96.29650429;97.29650429;S2;93.96325854;94.96325854;S3;92.9213062;93.9213062;S4;93.38199597;94.38199597;S5;94.14076625;95.14076625
S,27000,S1;96.98393892;97.98393892;S2;95.37516894;96.37516894;S3;93.35238364;94.35238364;S4;93.9766736;94.9766736;S5;94.92204127;95.92204127
S,27500,S1;97.19629495;98.19629495;S2;95.86958211;96.86958211;S3;93.35858113;94.35858113;S4;94.75583122;95.75583122;S5;95.29507235;96.29507235
S,28000,S1;97.64344703;98.64344703;S2;96.77178078;97.77178078;S3;94.50275291;95.50275291;S4;97.086276;98.086276;S5;96.50106418;97.50106418
S,28500,S1;97.22485463;98.22485463;S2;96.07038139;97.07038139;S3;94.04812086;95.04812086;S4;96.78006649;97.78006649;S5;96.03085584;97.03085584
S,29000,S1;97.68489289;98.68489289;S2;96.98436813;97.98436813;S3;93.93866478;94.93866478;S4;95.6368227;96.6368227;S5;96.06118712;97.06118712
S,29500,S1;98.47823795;99.47823795;S2;98.47105741;99.47105741;S3;94.7056817;95.7056817;S4;96.52388006;97.52388006;S5;97.04471428;98.04471428
S,30000,S1;99.5169381;100.5169381;S2;100.3497769;101.3497769;S3;95.81107975;96.81107975;S4;97.53987524;98.53987524;S5;98.30441749;99.30441749
S,30500,S1;99.01481026;100.01481026;S2;99.39021459;100.39021459;S3;95.72014413;96.72014413;S4;96.99003567;97.99003567;S5;97.77880116;98.77880116
S,31000,S1;99.08943336;100.08943336;S2;99.49967514;100.49967514;S3;95.67527011;96.67527011;S4;96.44411619;97.44411619;S5;97.6771237;98.6771237
S,31500,S1;98.28092297;99.28092297;S2;98.01420372;99.01420372;S3;95.09605159;96.09605159;S4;94.64998998;95.64998998;S5;96.51029206;97.51029206
S,32000,S1;99.7971071;100.7971071;S2;100.7761746;101.7761746;S3;96.13473919;97.13473919;S4;95.61192283;96.61192283;S5;98.07998592;99.07998592
S,32500,S1;99.45307174;100.45307174;S2;100.0921287;101.0921287;S3;96.54861193;97.54861193;S4;95.3516761;96.3516761;S5;97.86137212;98.86137212
S,33000,S1;100.0767981;101.0767981;S2;101.1722536;102.1722536;S3;97.27262842;98.27262842;S4;96.94965726;97.94965726;S5;98.86783433;99.86783433
S,33500,S1;99.11884416;100.11884416;S2;99.37893603;100.37893603;S3;96.72705452;97.72705452;S4;96.56285015;97.56285015;S5;97.94692122;98.94692122
