59,23,1
250,11,0
314,25,0
391,13,0
500,22,0
637,2,0
706,8,1
912,4,0
957,16,1
959,21,0
1072,11,1
1150,21,1
1200,12,0
1359,2,1
1424,26,0
1439,23,0
1460,10,1
1538,19,0
1672,15,0
1767,25,1
1873,13,1
1873,14,0
1899,14,1
1930,4,1
1938,8,0
1943,24,1
2012,12,1
2027,19,1
2058,22,1
2078,6,0
2142,23,1
2175,9,0
2297,8,1
2329,6,1
2434,22,0
2550,15,1
2632,11,0
2714,11,1
2756,29,0
2759,22,1
2771,13,0
2781,17,0
2821,11,0
2880,2,0
2972,5,1
3026,9,1
3159,23,0
3472,6,0
3547,27,0
3551,6,1
3871,1,0
4161,2,1
4203,29,1
4305,16,0
4413,4,0
4450,22,0
4703,27,1
4791,11,1
4809,0,0
4812,8,0
4833,28,0
4870,18,0
4913,19,0
4943,19,1
5078,14,0
5184,26,1
5213,9,0
5620,29,0
5721,1,1
5769,4,1
5915,20,0
5982,22,1
6002,16,1
6019,8,1
6027,14,1
6085,9,1
6109,23,1
6133,27,0
6137,21,0
6321,13,1
6411,3,0
6682,26,0
6750,24,0
6807,3,1
6856,6,0
6891,17,1
6947,18,1
7031,7,0
7094,0,1
7101,26,1
7121,27,1
7397,5,0
7503,23,0
7606,27,0
7675,16,0
7760,7,1
7792,15,0
7841,11,0
7845,24,1
7952,12,0
7981,16,1
8024,10,0
8070,28,1
8084,22,0
8133,11,1
8205,8,0
8242,15,1
8391,12,1
8575,15,0
8618,6,1
8647,21,1
8662,5,1
8780,3,0
8937,22,1
8985,27,1
9014,13,0
9054,20,1
9127,29,1
9411,14,0
9545,23,1
9647,21,0
9662,13,1
9713,14,1
9854,7,0
9940,2,0
9959,22,0
