1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Index
15.4691,30.9858,40.0179,26.7526,41.6729,42.9485,39.2192,22.8685,21.6261,43.0175,45.9192,39.0416,27.0726,41.8985,23.6196,42.4500,29.4265,33.0373,22.9320,18.7015,31.2226,23.4364,15.5604,46.6877,31.9828,16.3377,46.4031,30.3096,13.6729,44.2490,148.8421
15.3379,31.1403,42.8676,26.1834,40.3983,41.6758,38.9324,22.9960,21.5335,41.8231,46.5208,40.6962,27.4352,44.4629,23.5277,42.0695,29.5361,33.7326,23.4680,19.2800,30.7314,23.3274,15.6680,46.7759,31.9472,16.1920,46.5950,30.2785,13.5919,44.4091,149.0599
15.6134,29.6927,44.4251,26.2560,42.7639,42.1983,38.5661,22.7294,21.2880,42.7967,47.5652,40.6406,26.9540,43.5684,23.5999,41.9137,28.5194,31.9614,23.4472,19.5053,31.3625,22.8112,15.4251,46.3200,32.3004,16.8400,46.6167,29.9818,13.6104,44.7339,149.7298
15.5229,29.3869,41.0279,26.2771,41.3778,41.2046,39.0617,22.2633,21.4943,42.4525,46.6657,38.9618,26.7569,42.1715,23.6862,42.6018,28.5977,32.6213,22.3219,19.9744,30.6178,23.6396,15.8297,46.9032,32.6280,15.3949,47.2313,30.0910,13.0212,44.9101,147.9360
15.3440,30.8669,41.6240,25.6795,40.5995,40.3606,38.3463,22.5663,22.3242,42.3251,46.7686,39.3502,26.7976,43.1221,22.9755,43.4545,29.5929,32.5941,23.0596,19.0403,30.9287,24.1386,15.2258,46.0446,32.9968,16.1461,48.0932,29.8009,13.3350,44.6902,148.3935
15.2906,30.9062,41.0891,24.7155,40.8463,43.1861,38.4187,21.7903,21.8406,42.3884,48.5579,41.3150,25.7112,43.2553,23.5749,43.0665,29.5273,31.7163,23.2389,19.3224,30.9252,23.6273,15.4345,45.8583,33.0622,15.9071,46.8386,29.8702,13.1805,45.0804,149.2900
15.4430,30.8260,41.8223,26.5633,40.4561,39.1274,39.3624,20.8048,21.4920,41.4413,47.2006,40.7974,25.0338,41.8958,23.7822,42.6962,28.7427,30.1602,23.9017,19.9644,29.9446,23.6873,15.2152,46.7837,33.2488,14.8216,47.3677,30.1493,12.3618,45.4877,147.3373
16.0432,30.9666,44.3044,26.5525,41.0313,40.1290,39.9194,20.3210,21.8678,41.5708,49.3117,38.2715,24.3353,41.9967,24.0987,43.2993,28.8637,29.3749,23.4219,19.7808,30.5855,24.1275,15.0755,47.7186,34.3293,15.0235,48.1068,30.8344,12.0141,45.6184,148.8705
16.0066,31.5406,41.4071,26.6954,39.6681,39.9623,39.3415,20.0957,21.7683,42.5815,47.5021,39.6739,24.4489,43.5502,23.6019,43.3676,29.6877,29.2374,23.0375,20.3464,31.5307,23.9215,15.4168,47.3442,34.6845,14.0620,48.0328,30.5236,12.1540,45.5963,148.4597
15.5804,31.4931,42.6703,24.8442,41.5401,43.4821,39.0211,20.2995,21.6213,43.3798,48.0292,40.8668,24.5202,40.7879,23.8369,43.2679,29.8220,29.2387,24.6775,19.3760,32.4731,23.9539,16.2208,46.6758,33.9287,14.1108,47.7616,30.4313,11.7142,45.3958,150.1789
15.2281,31.2908,41.6011,27.8253,43.3624,43.8665,38.7111,20.5631,21.7520,44.9351,45.9942,39.1912,24.9061,42.5329,23.7982,42.8618,30.2371,30.1690,22.9802,18.8968,33.3334,23.8675,16.3084,46.2113,34.0198,15.3549,47.5040,29.9459,12.3574,45.3469,150.5165
15.3119,30.1682,41.8690,25.9083,45.2335,45.4836,38.0478,20.4261,21.5511,45.8809,48.4128,41.1468,24.8115,43.5713,23.4004,42.0137,28.8018,29.5284,23.5784,19.3864,33.6541,23.4782,16.0534,45.6800,33.3729,14.7350,47.2079,29.5124,12.2050,45.3134,151.5213
