96,4,1
226,6,0
430,17,0
488,5,1
530,25,0
658,6,1
658,15,1
661,21,0
742,20,1
809,7,0
959,17,1
1162,4,0
1163,24,0
1219,22,0
1250,7,1
1334,14,0
1465,4,1
1634,21,1
1641,10,0
1700,1,1
1728,12,0
1759,5,0
1790,10,1
1960,13,1
2125,14,1
2181,12,1
2210,22,1
2345,25,1
2374,9,0
2377,21,0
2581,2,0
2637,16,0
2648,14,0
2741,13,0
2796,7,0
2816,2,1
2901,28,0
2922,7,1
3043,18,0
3046,18,1
3094,8,1
3154,25,0
3337,18,0
3383,6,0
3410,2,0
3482,16,1
3543,9,1
3837,28,1
3905,17,0
3909,13,1
3940,29,0
3966,27,0
4263,27,1
4274,6,1
4300,25,1
4450,3,0
4753,6,0
4810,19,0
4904,21,1
5010,19,1
5055,14,1
5059,15,0
5117,17,1
5133,0,0
5228,9,0
5300,4,0
5354,8,0
5376,8,1
5485,25,0
5593,0,1
5703,4,1
5743,6,1
5779,23,0
5818,11,0
5830,0,0
5843,0,1
5849,29,1
5881,15,1
6022,5,1
6033,22,0
6046,8,0
6050,22,1
6073,2,1
6084,5,0
6137,18,1
6233,23,1
6379,20,0
6624,25,1
6781,20,1
6898,27,0
6947,9,1
6958,3,1
6980,28,0
7066,5,1
7105,10,0
7175,25,0
7193,22,0
7339,10,1
7450,0,0
7558,17,0
7585,24,1
7661,26,0
7773,27,1
7905,8,1
7941,3,0
7977,7,0
8005,17,1
8142,1,0
8142,25,1
8417,17,0
8420,20,0
8458,21,0
8477,26,1
8581,28,1
8645,24,0
8777,21,1
8806,19,0
8807,22,1
8830,23,0
8861,27,0
8949,23,1
9020,3,1
9112,9,0
9117,6,0
9167,5,0
9194,19,1
9246,17,1
9284,10,0
9310,20,1
9353,13,0
9509,9,1
9545,14,0
9648,14,1
9802,13,1
